Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Acanthophyllum cerastioides,"TI=""Acanthophyllum cerastioides"" OR AB=""Acanthophyllum cerastioides"" OR AK=""Acanthophyllum cerastioides""",Michael,0,
Dianthus trifasciculatus,"TI=""Dianthus trifasciculatus"" OR AB=""Dianthus trifasciculatus"" OR AK=""Dianthus trifasciculatus""",Michael,0,
Gypsophila oldhamiana,"TI=""Gypsophila oldhamiana"" OR AB=""Gypsophila oldhamiana"" OR AK=""Gypsophila oldhamiana""",Michael,15,
Dianthus callizonus,"TI=""Dianthus callizonus"" OR AB=""Dianthus callizonus"" OR AK=""Dianthus callizonus""",Michael,3,
Dianthus sylvestris,"TI=""Dianthus sylvestris"" OR AB=""Dianthus sylvestris"" OR AK=""Dianthus sylvestris""",Michael,9,
Dianthus serrulatus,"TI=""Dianthus serrulatus"" OR AB=""Dianthus serrulatus"" OR AK=""Dianthus serrulatus""",Michael,0,
Gypsophila glomerata,"TI=""Gypsophila glomerata"" OR AB=""Gypsophila glomerata"" OR AK=""Gypsophila glomerata""",Michael,3,
Dianthus tristis,"TI=""Dianthus tristis"" OR AB=""Dianthus tristis"" OR AK=""Dianthus tristis""",Michael,0,
Dianthus longicalyx,"TI=""Dianthus longicalyx"" OR AB=""Dianthus longicalyx"" OR AK=""Dianthus longicalyx""",Michael,0,
Silene bernardina,"TI=""Silene bernardina"" OR AB=""Silene bernardina"" OR AK=""Silene bernardina""",Michael,0,
Arenaria lanuginosa,"TI=""Arenaria lanuginosa"" OR AB=""Arenaria lanuginosa"" OR AK=""Arenaria lanuginosa""",Michael,0,
Cerastium semidecandrum,"TI=""Cerastium semidecandrum"" OR AB=""Cerastium semidecandrum"" OR AK=""Cerastium semidecandrum""",Michael,8,
Holosteum umbellatum,"TI=""Holosteum umbellatum"" OR AB=""Holosteum umbellatum"" OR AK=""Holosteum umbellatum""",Michael,3,
Arenaria serpyllifolia,"TI=""Arenaria serpyllifolia"" OR AB=""Arenaria serpyllifolia"" OR AK=""Arenaria serpyllifolia""",Michael,23,
Silene parviflora,"TI=""Silene parviflora"" OR AB=""Silene parviflora"" OR AK=""Silene parviflora""",Michael,0,
Silene otites,"TI=""Silene otites"" OR AB=""Silene otites"" OR AK=""Silene otites""",Michael,23,
Sagina apetala,"TI=""Sagina apetala"" OR AB=""Sagina apetala"" OR AK=""Sagina apetala""",Michael,7,
Silene apetala,"TI=""Silene apetala"" OR AB=""Silene apetala"" OR AK=""Silene apetala""",Michael,1,
Silene oreophila,"TI=""Silene oreophila"" OR AB=""Silene oreophila"" OR AK=""Silene oreophila""",Michael,0,
Saponaria pumila,"TI=""Saponaria pumila"" OR AB=""Saponaria pumila"" OR AK=""Saponaria pumila""",Michael,2,
Silene rouyana,"TI=""Silene rouyana"" OR AB=""Silene rouyana"" OR AK=""Silene rouyana""",Michael,0,
Silene olympica,"TI=""Silene olympica"" OR AB=""Silene olympica"" OR AK=""Silene olympica""",Michael,1,
Silene paradoxa,"TI=""Silene paradoxa"" OR AB=""Silene paradoxa"" OR AK=""Silene paradoxa""",Michael,21,
Silene rupestris,"TI=""Silene rupestris"" OR AB=""Silene rupestris"" OR AK=""Silene rupestris""",Michael,8,
Petrorhagia saxifraga,"TI=""Petrorhagia saxifraga"" OR AB=""Petrorhagia saxifraga"" OR AK=""Petrorhagia saxifraga""",Michael,8,
Stellaria holostea,"TI=""Stellaria holostea"" OR AB=""Stellaria holostea"" OR AK=""Stellaria holostea""",Michael,26,
Petrorhagia illyrica,"TI=""Petrorhagia illyrica"" OR AB=""Petrorhagia illyrica"" OR AK=""Petrorhagia illyrica""",Michael,0,
Stellaria palustris,"TI=""Stellaria palustris"" OR AB=""Stellaria palustris"" OR AK=""Stellaria palustris""",Michael,3,
