Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Eriogonum compositum,"TI=""Eriogonum compositum"" OR AB=""Eriogonum compositum"" OR AK=""Eriogonum compositum""",Emily,4,
Rumex altissimus,"TI=""Rumex altissimus"" OR AB=""Rumex altissimus"" OR AK=""Rumex altissimus""",Emily,0,
Rumex triangulivalvis,"TI=""Rumex triangulivalvis"" OR AB=""Rumex triangulivalvis"" OR AK=""Rumex triangulivalvis""",Emily,0,
Eriogonum heracleoides,"TI=""Eriogonum heracleoides"" OR AB=""Eriogonum heracleoides"" OR AK=""Eriogonum heracleoides""",Emily,4,
Eriogonum vimineum,"TI=""Eriogonum vimineum"" OR AB=""Eriogonum vimineum"" OR AK=""Eriogonum vimineum""",Emily,0,
Rumex occidentalis,"TI=""Rumex occidentalis"" OR AB=""Rumex occidentalis"" OR AK=""Rumex occidentalis""",Emily,5,
Eriogonum niveum,"TI=""Eriogonum niveum"" OR AB=""Eriogonum niveum"" OR AK=""Eriogonum niveum""",Emily,3,
Eriogonum latifolium,"TI=""Eriogonum latifolium"" OR AB=""Eriogonum latifolium"" OR AK=""Eriogonum latifolium""",Emily,2,
Fallopia convolvulus,"TI=""Fallopia convolvulus"" OR AB=""Fallopia convolvulus"" OR AK=""Fallopia convolvulus""",Emily,56,
Rumex patientia,"TI=""Rumex patientia"" OR AB=""Rumex patientia"" OR AK=""Rumex patientia""",Emily,45,
Rumex acetosa,"TI=""Rumex acetosa"" OR AB=""Rumex acetosa"" OR AK=""Rumex acetosa""",Emily,253,
Fallopia dumetorum,"TI=""Fallopia dumetorum"" OR AB=""Fallopia dumetorum"" OR AK=""Fallopia dumetorum""",Emily,1,
Persicaria alpina,"TI=""Persicaria alpina"" OR AB=""Persicaria alpina"" OR AK=""Persicaria alpina""",Emily,0,
Eriogonum elongatum,"TI=""Eriogonum elongatum"" OR AB=""Eriogonum elongatum"" OR AK=""Eriogonum elongatum""",Emily,0,
Eriogonum fasciculatum,"TI=""Eriogonum fasciculatum"" OR AB=""Eriogonum fasciculatum"" OR AK=""Eriogonum fasciculatum""",Emily,23,
Eriogonum nudum,"TI=""Eriogonum nudum"" OR AB=""Eriogonum nudum"" OR AK=""Eriogonum nudum""",Emily,0,
Bistorta plumosa,"TI=""Bistorta plumosa"" OR AB=""Bistorta plumosa"" OR AK=""Bistorta plumosa""",Emily,0,
Eriogonum tomentosum,"TI=""Eriogonum tomentosum"" OR AB=""Eriogonum tomentosum"" OR AK=""Eriogonum tomentosum""",Emily,1,
Polygonum shastense,"TI=""Polygonum shastense"" OR AB=""Polygonum shastense"" OR AK=""Polygonum shastense""",Emily,0,
Rumex verticillatus,"TI=""Rumex verticillatus"" OR AB=""Rumex verticillatus"" OR AK=""Rumex verticillatus""",Emily,4,
Eriogonum pyrolaefolium,"TI=""Eriogonum pyrolaefolium"" OR AB=""Eriogonum pyrolaefolium"" OR AK=""Eriogonum pyrolaefolium""",Emily,0,
Rumex hypogaeus,"TI=""Rumex hypogaeus"" OR AB=""Rumex hypogaeus"" OR AK=""Rumex hypogaeus""",Emily,2,
Rumex flexuosus,"TI=""Rumex flexuosus"" OR AB=""Rumex flexuosus"" OR AK=""Rumex flexuosus""",Emily,0,
Rumex pulcher,"TI=""Rumex pulcher"" OR AB=""Rumex pulcher"" OR AK=""Rumex pulcher""",Emily,15,
Rumex neglectus,"TI=""Rumex neglectus"" OR AB=""Rumex neglectus"" OR AK=""Rumex neglectus""",Emily,0,
Rumex tingitanus,"TI=""Rumex tingitanus"" OR AB=""Rumex tingitanus"" OR AK=""Rumex tingitanus""",Emily,3,
Rumex scutatus,"TI=""Rumex scutatus"" OR AB=""Rumex scutatus"" OR AK=""Rumex scutatus""",Emily,15,
Rheum webbianum,"TI=""Rheum webbianum"" OR AB=""Rheum webbianum"" OR AK=""Rheum webbianum""",Emily,4,
Bistorta vivipara,"TI=""Bistorta vivipara"" OR AB=""Bistorta vivipara"" OR AK=""Bistorta vivipara""",Emily,55,
Rumex bidens,"TI=""Rumex bidens"" OR AB=""Rumex bidens"" OR AK=""Rumex bidens""",Emily,0,
Persicaria setacea,"TI=""Persicaria setacea"" OR AB=""Persicaria setacea"" OR AK=""Persicaria setacea""",Emily,0,
Muehlenbeckia gracillima,"TI=""Muehlenbeckia gracillima"" OR AB=""Muehlenbeckia gracillima"" OR AK=""Muehlenbeckia gracillima""",Emily,0,
Persicaria attenuata,"TI=""Persicaria attenuata"" OR AB=""Persicaria attenuata"" OR AK=""Persicaria attenuata""",Emily,3,
Persicaria barbata,"TI=""Persicaria barbata"" OR AB=""Persicaria barbata"" OR AK=""Persicaria barbata""",Emily,5,
Persicaria senticosa,"TI=""Persicaria senticosa"" OR AB=""Persicaria senticosa"" OR AK=""Persicaria senticosa""",Emily,1,
Persicaria decipiens,"TI=""Persicaria decipiens"" OR AB=""Persicaria decipiens"" OR AK=""Persicaria decipiens""",Emily,1,
Antenoron filiforme,"TI=""Antenoron filiforme"" OR AB=""Antenoron filiforme"" OR AK=""Antenoron filiforme""",Emily,2,
Persicaria chinensis,"TI=""Persicaria chinensis"" OR AB=""Persicaria chinensis"" OR AK=""Persicaria chinensis""",Emily,9,
Bistorta amplexicaulis,"TI=""Bistorta amplexicaulis"" OR AB=""Bistorta amplexicaulis"" OR AK=""Bistorta amplexicaulis""",Emily,2,
Persicaria malaica,"TI=""Persicaria malaica"" OR AB=""Persicaria malaica"" OR AK=""Persicaria malaica""",Emily,0,
Polygonum minus,"TI=""Polygonum minus"" OR AB=""Polygonum minus"" OR AK=""Polygonum minus""",Emily,71,
Rumex angustifolius,"TI=""Rumex angustifolius"" OR AB=""Rumex angustifolius"" OR AK=""Rumex angustifolius""",Emily,0,
Polygonum recumbens,"TI=""Polygonum recumbens"" OR AB=""Polygonum recumbens"" OR AK=""Polygonum recumbens""",Emily,0,
Rumex tuberosus,"TI=""Rumex tuberosus"" OR AB=""Rumex tuberosus"" OR AK=""Rumex tuberosus""",Emily,3,
Persicaria strigosa,"TI=""Persicaria strigosa"" OR AB=""Persicaria strigosa"" OR AK=""Persicaria strigosa""",Emily,0,
Rumex vesicarius,"TI=""Rumex vesicarius"" OR AB=""Rumex vesicarius"" OR AK=""Rumex vesicarius""",Emily,33,
Muehlenbeckia gunnii,"TI=""Muehlenbeckia gunnii"" OR AB=""Muehlenbeckia gunnii"" OR AK=""Muehlenbeckia gunnii""",Emily,0,
Muehlenbeckia australis,"TI=""Muehlenbeckia australis"" OR AB=""Muehlenbeckia australis"" OR AK=""Muehlenbeckia australis""",Emily,7,
Muehlenbeckia adpressa,"TI=""Muehlenbeckia adpressa"" OR AB=""Muehlenbeckia adpressa"" OR AK=""Muehlenbeckia adpressa""",Emily,1,
Muehlenbeckia axillaris,"TI=""Muehlenbeckia axillaris"" OR AB=""Muehlenbeckia axillaris"" OR AK=""Muehlenbeckia axillaris""",Emily,2,
Persicaria mitis,"TI=""Persicaria mitis"" OR AB=""Persicaria mitis"" OR AK=""Persicaria mitis""",Emily,1,
Persicaria perfoliata,"TI=""Persicaria perfoliata"" OR AB=""Persicaria perfoliata"" OR AK=""Persicaria perfoliata""",Emily,29,
Coccoloba sintenisii,"TI=""Coccoloba sintenisii"" OR AB=""Coccoloba sintenisii"" OR AK=""Coccoloba sintenisii""",Emily,0,
Coccoloba pyrifolia,"TI=""Coccoloba pyrifolia"" OR AB=""Coccoloba pyrifolia"" OR AK=""Coccoloba pyrifolia""",Emily,0,
Rumex hastatus,"TI=""Rumex hastatus"" OR AB=""Rumex hastatus"" OR AK=""Rumex hastatus""",Emily,38,
Coccoloba latifolia,"TI=""Coccoloba latifolia"" OR AB=""Coccoloba latifolia"" OR AK=""Coccoloba latifolia""",Emily,1,
Persicaria runcinata,"TI=""Persicaria runcinata"" OR AB=""Persicaria runcinata"" OR AK=""Persicaria runcinata""",Emily,1,
Muehlenbeckia complexa,"TI=""Muehlenbeckia complexa"" OR AB=""Muehlenbeckia complexa"" OR AK=""Muehlenbeckia complexa""",Emily,1,
Persicaria nepalensis,"TI=""Persicaria nepalensis"" OR AB=""Persicaria nepalensis"" OR AK=""Persicaria nepalensis""",Emily,6,
Polygonum hydropiperoides,"TI=""Polygonum hydropiperoides"" OR AB=""Polygonum hydropiperoides"" OR AK=""Polygonum hydropiperoides""",Emily,20,
Rumex arifolius,"TI=""Rumex arifolius"" OR AB=""Rumex arifolius"" OR AK=""Rumex arifolius""",Emily,0,
Rumex conglomeratus,"TI=""Rumex conglomeratus"" OR AB=""Rumex conglomeratus"" OR AK=""Rumex conglomeratus""",Emily,12,
Rumex longifolius,"TI=""Rumex longifolius"" OR AB=""Rumex longifolius"" OR AK=""Rumex longifolius""",Emily,6,
Coccoloba venosa,"TI=""Coccoloba venosa"" OR AB=""Coccoloba venosa"" OR AK=""Coccoloba venosa""",Emily,0,
Polygonum bellardii,"TI=""Polygonum bellardii"" OR AB=""Polygonum bellardii"" OR AK=""Polygonum bellardii""",Emily,7,
Rumex aquaticus,"TI=""Rumex aquaticus"" OR AB=""Rumex aquaticus"" OR AK=""Rumex aquaticus""",Emily,23,
Rumex nepalensis,"TI=""Rumex nepalensis"" OR AB=""Rumex nepalensis"" OR AK=""Rumex nepalensis""",Emily,52,
Persicaria senegalensis,"TI=""Persicaria senegalensis"" OR AB=""Persicaria senegalensis"" OR AK=""Persicaria senegalensis""",Emily,1,
Coccoloba mollis,"TI=""Coccoloba mollis"" OR AB=""Coccoloba mollis"" OR AK=""Coccoloba mollis""",Emily,6,
Fallopia baldschuanica,"TI=""Fallopia baldschuanica"" OR AB=""Fallopia baldschuanica"" OR AK=""Fallopia baldschuanica""",Emily,3,
Polygonum tortuosum,"TI=""Polygonum tortuosum"" OR AB=""Polygonum tortuosum"" OR AK=""Polygonum tortuosum""",Emily,0,
Koenigia islandica,"TI=""Koenigia islandica"" OR AB=""Koenigia islandica"" OR AK=""Koenigia islandica""",Emily,15,
Persicaria thunbergii,"TI=""Persicaria thunbergii"" OR AB=""Persicaria thunbergii"" OR AK=""Persicaria thunbergii""",Emily,13,
Persicaria longiseta,"TI=""Persicaria longiseta"" OR AB=""Persicaria longiseta"" OR AK=""Persicaria longiseta""",Emily,8,
Persicaria acuminata,"TI=""Persicaria acuminata"" OR AB=""Persicaria acuminata"" OR AK=""Persicaria acuminata""",Emily,0,
Polygonum arenastrum,"TI=""Polygonum arenastrum"" OR AB=""Polygonum arenastrum"" OR AK=""Polygonum arenastrum""",Emily,11,
Polygonum posumbu,"TI=""Polygonum posumbu"" OR AB=""Polygonum posumbu"" OR AK=""Polygonum posumbu""",Emily,0,
Polygonum filicaule,"TI=""Polygonum filicaule"" OR AB=""Polygonum filicaule"" OR AK=""Polygonum filicaule""",Emily,0,
Koenigia campanulata,"TI=""Koenigia campanulata"" OR AB=""Koenigia campanulata"" OR AK=""Koenigia campanulata""",Emily,0,
Coccoloba alnifolia,"TI=""Coccoloba alnifolia"" OR AB=""Coccoloba alnifolia"" OR AK=""Coccoloba alnifolia""",Emily,2,
Polygonum maritimum,"TI=""Polygonum maritimum"" OR AB=""Polygonum maritimum"" OR AK=""Polygonum maritimum""",Emily,13,
Pleuropteropyrum rumicifolium,"TI=""Pleuropteropyrum rumicifolium"" OR AB=""Pleuropteropyrum rumicifolium"" OR AK=""Pleuropteropyrum rumicifolium""",Emily,0,
Rumex lapponicus,"TI=""Rumex lapponicus"" OR AB=""Rumex lapponicus"" OR AK=""Rumex lapponicus""",Emily,0,
Polygonum affine,"TI=""Polygonum affine"" OR AB=""Polygonum affine"" OR AK=""Polygonum affine""",Emily,0,
Persicaria setosula,"TI=""Persicaria setosula"" OR AB=""Persicaria setosula"" OR AK=""Persicaria setosula""",Emily,0,
Persicaria assamica,"TI=""Persicaria assamica"" OR AB=""Persicaria assamica"" OR AK=""Persicaria assamica""",Emily,0,
Fallopia multiflora,"TI=""Fallopia multiflora"" OR AB=""Fallopia multiflora"" OR AK=""Fallopia multiflora""",Emily,27,
Rumex abyssinicus,"TI=""Rumex abyssinicus"" OR AB=""Rumex abyssinicus"" OR AK=""Rumex abyssinicus""",Emily,18,
Polygonum laxmannii,"TI=""Polygonum laxmannii"" OR AB=""Polygonum laxmannii"" OR AK=""Polygonum laxmannii""",Emily,0,
Rumex dentatus,"TI=""Rumex dentatus"" OR AB=""Rumex dentatus"" OR AK=""Rumex dentatus""",Emily,115,
Polygonum densiflorum,"TI=""Polygonum densiflorum"" OR AB=""Polygonum densiflorum"" OR AK=""Polygonum densiflorum""",Emily,6,
Reynoutria japonica,"TI=""Reynoutria japonica"" OR AB=""Reynoutria japonica"" OR AK=""Reynoutria japonica""",Emily,107,
Fallopia pterocarpa,"TI=""Fallopia pterocarpa"" OR AB=""Fallopia pterocarpa"" OR AK=""Fallopia pterocarpa""",Emily,0,
Calligonum polygonoides,"TI=""Calligonum polygonoides"" OR AB=""Calligonum polygonoides"" OR AK=""Calligonum polygonoides""",Emily,59,
Rumex lunaria,"TI=""Rumex lunaria"" OR AB=""Rumex lunaria"" OR AK=""Rumex lunaria""",Emily,5,
Persicaria muricata,"TI=""Persicaria muricata"" OR AB=""Persicaria muricata"" OR AK=""Persicaria muricata""",Emily,0,
Persicaria filiformis,"TI=""Persicaria filiformis"" OR AB=""Persicaria filiformis"" OR AK=""Persicaria filiformis""",Emily,0,
Rumex maritimus,"TI=""Rumex maritimus"" OR AB=""Rumex maritimus"" OR AK=""Rumex maritimus""",Emily,27,
Rumex sanguineus,"TI=""Rumex sanguineus"" OR AB=""Rumex sanguineus"" OR AK=""Rumex sanguineus""",Emily,7,
Rumex hydrolapathum,"TI=""Rumex hydrolapathum"" OR AB=""Rumex hydrolapathum"" OR AK=""Rumex hydrolapathum""",Emily,13,
Rumex japonicus,"TI=""Rumex japonicus"" OR AB=""Rumex japonicus"" OR AK=""Rumex japonicus""",Emily,50,
Rumex bequaertii,"TI=""Rumex bequaertii"" OR AB=""Rumex bequaertii"" OR AK=""Rumex bequaertii""",Emily,1,
Muehlenbeckia hastulata,"TI=""Muehlenbeckia hastulata"" OR AB=""Muehlenbeckia hastulata"" OR AK=""Muehlenbeckia hastulata""",Emily,5,
Calligonum microcarpum,"TI=""Calligonum microcarpum"" OR AB=""Calligonum microcarpum"" OR AK=""Calligonum microcarpum""",Emily,0,
Calligonum comosum,"TI=""Calligonum comosum"" OR AB=""Calligonum comosum"" OR AK=""Calligonum comosum""",Emily,35,
Calligonum setosum,"TI=""Calligonum setosum"" OR AB=""Calligonum setosum"" OR AK=""Calligonum setosum""",Emily,0,
Calligonum caput-medusae,"TI=""Calligonum caput-medusae"" OR AB=""Calligonum caput-medusae"" OR AK=""Calligonum caput-medusae""",Emily,7,
Calligonum eriopodum,"TI=""Calligonum eriopodum"" OR AB=""Calligonum eriopodum"" OR AK=""Calligonum eriopodum""",Emily,0,
Rumex palustris,"TI=""Rumex palustris"" OR AB=""Rumex palustris"" OR AK=""Rumex palustris""",Emily,66,
Rumex paulsenianus,"TI=""Rumex paulsenianus"" OR AB=""Rumex paulsenianus"" OR AK=""Rumex paulsenianus""",Emily,2,
Polygonum acetosum,"TI=""Polygonum acetosum"" OR AB=""Polygonum acetosum"" OR AK=""Polygonum acetosum""",Emily,0,
Oxygonum sinuatum,"TI=""Oxygonum sinuatum"" OR AB=""Oxygonum sinuatum"" OR AK=""Oxygonum sinuatum""",Emily,7,
Rumex confertus,"TI=""Rumex confertus"" OR AB=""Rumex confertus"" OR AK=""Rumex confertus""",Emily,12,
Persicaria erectominor,"TI=""Persicaria erectominor"" OR AB=""Persicaria erectominor"" OR AK=""Persicaria erectominor""",Emily,0,
Rheum tetragonopus,"TI=""Rheum tetragonopus"" OR AB=""Rheum tetragonopus"" OR AK=""Rheum tetragonopus""",Emily,0,
Persicaria posumbu,"TI=""Persicaria posumbu"" OR AB=""Persicaria posumbu"" OR AK=""Persicaria posumbu""",Emily,1,
Persicaria odorata,"TI=""Persicaria odorata"" OR AB=""Persicaria odorata"" OR AK=""Persicaria odorata""",Emily,12,
Polygonum equisetiforme,"TI=""Polygonum equisetiforme"" OR AB=""Polygonum equisetiforme"" OR AK=""Polygonum equisetiforme""",Emily,10,
Polygonum patulum,"TI=""Polygonum patulum"" OR AB=""Polygonum patulum"" OR AK=""Polygonum patulum""",Emily,4,
Koenigia polystachya,"TI=""Koenigia polystachya"" OR AB=""Koenigia polystachya"" OR AK=""Koenigia polystachya""",Emily,0,
Polygonum plebejum,"TI=""Polygonum plebejum"" OR AB=""Polygonum plebejum"" OR AK=""Polygonum plebejum""",Emily,12,
Polygonum rottboellioides,"TI=""Polygonum rottboellioides"" OR AB=""Polygonum rottboellioides"" OR AK=""Polygonum rottboellioides""",Emily,0,
Rumex chalepensis,"TI=""Rumex chalepensis"" OR AB=""Rumex chalepensis"" OR AK=""Rumex chalepensis""",Emily,2,
Polygonum argyrocoleum,"TI=""Polygonum argyrocoleum"" OR AB=""Polygonum argyrocoleum"" OR AK=""Polygonum argyrocoleum""",Emily,0,
Polygonum cognatum,"TI=""Polygonum cognatum"" OR AB=""Polygonum cognatum"" OR AK=""Polygonum cognatum""",Emily,11,
Polygonum arenarium,"TI=""Polygonum arenarium"" OR AB=""Polygonum arenarium"" OR AK=""Polygonum arenarium""",Emily,3,
Polygonum japonicum,"TI=""Polygonum japonicum"" OR AB=""Polygonum japonicum"" OR AK=""Polygonum japonicum""",Emily,2,
Rumex pratensis,"TI=""Rumex pratensis"" OR AB=""Rumex pratensis"" OR AK=""Rumex pratensis""",Danica,0,
Calligonum arborescens,"TI=""Calligonum arborescens"" OR AB=""Calligonum arborescens"" OR AK=""Calligonum arborescens""",Danica,6,
Calligonum calliphysa,"TI=""Calligonum calliphysa"" OR AB=""Calligonum calliphysa"" OR AK=""Calligonum calliphysa""",Danica,1,
Atraphaxis pungens,"TI=""Atraphaxis pungens"" OR AB=""Atraphaxis pungens"" OR AK=""Atraphaxis pungens""",Danica,0,
Atraphaxis replicata,"TI=""Atraphaxis replicata"" OR AB=""Atraphaxis replicata"" OR AK=""Atraphaxis replicata""",Danica,0,
Calligonum aphyllum,"TI=""Calligonum aphyllum"" OR AB=""Calligonum aphyllum"" OR AK=""Calligonum aphyllum""",Danica,1,
Atraphaxis pyrifolia,"TI=""Atraphaxis pyrifolia"" OR AB=""Atraphaxis pyrifolia"" OR AK=""Atraphaxis pyrifolia""",Danica,0,
Calligonum leucocladum,"TI=""Calligonum leucocladum"" OR AB=""Calligonum leucocladum"" OR AK=""Calligonum leucocladum""",Danica,1,
Atraphaxis muschketovii,"TI=""Atraphaxis muschketovii"" OR AB=""Atraphaxis muschketovii"" OR AK=""Atraphaxis muschketovii""",Danica,0,
Persicaria foliosa,"TI=""Persicaria foliosa"" OR AB=""Persicaria foliosa"" OR AK=""Persicaria foliosa""",Danica,0,
Rumex thyrsiflorus,"TI=""Rumex thyrsiflorus"" OR AB=""Rumex thyrsiflorus"" OR AK=""Rumex thyrsiflorus""",Danica,14,
Duma florulenta,"TI=""Duma florulenta"" OR AB=""Duma florulenta"" OR AK=""Duma florulenta""",Danica,6,
Rumex stenophyllus,"TI=""Rumex stenophyllus"" OR AB=""Rumex stenophyllus"" OR AK=""Rumex stenophyllus""",Danica,3,
Rumex tianschanicus,"TI=""Rumex tianschanicus"" OR AB=""Rumex tianschanicus"" OR AK=""Rumex tianschanicus""",Danica,5,
Koenigia tripterocarpa,"TI=""Koenigia tripterocarpa"" OR AB=""Koenigia tripterocarpa"" OR AK=""Koenigia tripterocarpa""",Danica,0,
Polygonum majus,"TI=""Polygonum majus"" OR AB=""Polygonum majus"" OR AK=""Polygonum majus""",Danica,0,
Polygonum viscosum,"TI=""Polygonum viscosum"" OR AB=""Polygonum viscosum"" OR AK=""Polygonum viscosum""",Danica,11,
Rumex lanceolatus,"TI=""Rumex lanceolatus"" OR AB=""Rumex lanceolatus"" OR AK=""Rumex lanceolatus""",Danica,1,
Rumex arcticus,"TI=""Rumex arcticus"" OR AB=""Rumex arcticus"" OR AK=""Rumex arcticus""",Danica,1,
Persicaria bungeana,"TI=""Persicaria bungeana"" OR AB=""Persicaria bungeana"" OR AK=""Persicaria bungeana""",Danica,0,
Polygonum divaricatum,"TI=""Polygonum divaricatum"" OR AB=""Polygonum divaricatum"" OR AK=""Polygonum divaricatum""",Danica,0,
Rumex roseus,"TI=""Rumex roseus"" OR AB=""Rumex roseus"" OR AK=""Rumex roseus""",Danica,1,
Coccoloba caracasana,"TI=""Coccoloba caracasana"" OR AB=""Coccoloba caracasana"" OR AK=""Coccoloba caracasana""",Danica,0,
Rumex cristatus,"TI=""Rumex cristatus"" OR AB=""Rumex cristatus"" OR AK=""Rumex cristatus""",Danica,2,
Rumex nebroides,"TI=""Rumex nebroides"" OR AB=""Rumex nebroides"" OR AK=""Rumex nebroides""",Danica,0,
Persicaria pubescens,"TI=""Persicaria pubescens"" OR AB=""Persicaria pubescens"" OR AK=""Persicaria pubescens""",Danica,0,
Rumex woodii,"TI=""Rumex woodii"" OR AB=""Rumex woodii"" OR AK=""Rumex woodii""",Danica,0,
Persicaria hystricula,"TI=""Persicaria hystricula"" OR AB=""Persicaria hystricula"" OR AK=""Persicaria hystricula""",Danica,0,
Fagopyrum capillatum,"TI=""Fagopyrum capillatum"" OR AB=""Fagopyrum capillatum"" OR AK=""Fagopyrum capillatum""",Danica,1,
Persicaria pinetora,"TI=""Persicaria pinetora"" OR AB=""Persicaria pinetora"" OR AK=""Persicaria pinetora""",Danica,0,
Persicaria lanata,"TI=""Persicaria lanata"" OR AB=""Persicaria lanata"" OR AK=""Persicaria lanata""",Danica,0,
Koenigia ajanensis,"TI=""Koenigia ajanensis"" OR AB=""Koenigia ajanensis"" OR AK=""Koenigia ajanensis""",Danica,0,
Persicaria segetum,"TI=""Persicaria segetum"" OR AB=""Persicaria segetum"" OR AK=""Persicaria segetum""",Danica,0,
Reynoutria sachalinensis,"TI=""Reynoutria sachalinensis"" OR AB=""Reynoutria sachalinensis"" OR AK=""Reynoutria sachalinensis""",Danica,37,
Koenigia hookeri,"TI=""Koenigia hookeri"" OR AB=""Koenigia hookeri"" OR AK=""Koenigia hookeri""",Danica,0,
Koenigia nummularifolia,"TI=""Koenigia nummularifolia"" OR AB=""Koenigia nummularifolia"" OR AK=""Koenigia nummularifolia""",Danica,0,
Persicaria strindbergii,"TI=""Persicaria strindbergii"" OR AB=""Persicaria strindbergii"" OR AK=""Persicaria strindbergii""",Danica,0,
Polygonum darrisii,"TI=""Polygonum darrisii"" OR AB=""Polygonum darrisii"" OR AK=""Polygonum darrisii""",Danica,0,
Bistorta paleacea,"TI=""Bistorta paleacea"" OR AB=""Bistorta paleacea"" OR AK=""Bistorta paleacea""",Danica,0,
Bistorta suffulta,"TI=""Bistorta suffulta"" OR AB=""Bistorta suffulta"" OR AK=""Bistorta suffulta""",Danica,0,
Persicaria neofiliforme,"TI=""Persicaria neofiliforme"" OR AB=""Persicaria neofiliforme"" OR AK=""Persicaria neofiliforme""",Danica,0,
Polygonum dissitiflorum,"TI=""Polygonum dissitiflorum"" OR AB=""Polygonum dissitiflorum"" OR AK=""Polygonum dissitiflorum""",Danica,1,
Rumex usambarensis,"TI=""Rumex usambarensis"" OR AB=""Rumex usambarensis"" OR AK=""Rumex usambarensis""",Danica,3,
Rumex steudelii,"TI=""Rumex steudelii"" OR AB=""Rumex steudelii"" OR AK=""Rumex steudelii""",Danica,4,
Rumex rhodesius,"TI=""Rumex rhodesius"" OR AB=""Rumex rhodesius"" OR AK=""Rumex rhodesius""",Danica,0,
Persicaria capitata,"TI=""Persicaria capitata"" OR AB=""Persicaria capitata"" OR AK=""Persicaria capitata""",Danica,4,
Polygonum microcephalum,"TI=""Polygonum microcephalum"" OR AB=""Polygonum microcephalum"" OR AK=""Polygonum microcephalum""",Danica,2,
Polygonum paleaceum,"TI=""Polygonum paleaceum"" OR AB=""Polygonum paleaceum"" OR AK=""Polygonum paleaceum""",Danica,4,
Pteroxygonum giraldii,"TI=""Pteroxygonum giraldii"" OR AB=""Pteroxygonum giraldii"" OR AK=""Pteroxygonum giraldii""",Danica,5,
Rheum palmatum,"TI=""Rheum palmatum"" OR AB=""Rheum palmatum"" OR AK=""Rheum palmatum""",Danica,331,
Eriogonum parvifolium,"TI=""Eriogonum parvifolium"" OR AB=""Eriogonum parvifolium"" OR AK=""Eriogonum parvifolium""",Danica,1,
Eriogonum gracile,"TI=""Eriogonum gracile"" OR AB=""Eriogonum gracile"" OR AK=""Eriogonum gracile""",Danica,0,
Eriogonum angulosum,"TI=""Eriogonum angulosum"" OR AB=""Eriogonum angulosum"" OR AK=""Eriogonum angulosum""",Danica,0,
Koenigia forrestii,"TI=""Koenigia forrestii"" OR AB=""Koenigia forrestii"" OR AK=""Koenigia forrestii""",Danica,0,
Eriogonum lonchophyllum,"TI=""Eriogonum lonchophyllum"" OR AB=""Eriogonum lonchophyllum"" OR AK=""Eriogonum lonchophyllum""",Danica,0,
Eriogonum heermannii,"TI=""Eriogonum heermannii"" OR AB=""Eriogonum heermannii"" OR AK=""Eriogonum heermannii""",Danica,0,
Oxytheca dendroidea,"TI=""Oxytheca dendroidea"" OR AB=""Oxytheca dendroidea"" OR AK=""Oxytheca dendroidea""",Danica,0,
Eriogonum ursinum,"TI=""Eriogonum ursinum"" OR AB=""Eriogonum ursinum"" OR AK=""Eriogonum ursinum""",Danica,0,
Chorizanthe robusta,"TI=""Chorizanthe robusta"" OR AB=""Chorizanthe robusta"" OR AK=""Chorizanthe robusta""",Danica,0,
Chorizanthe angustifolia,"TI=""Chorizanthe angustifolia"" OR AB=""Chorizanthe angustifolia"" OR AK=""Chorizanthe angustifolia""",Danica,1,
Rumex dumosus,"TI=""Rumex dumosus"" OR AB=""Rumex dumosus"" OR AK=""Rumex dumosus""",Danica,1,
Persicaria praetermissa,"TI=""Persicaria praetermissa"" OR AB=""Persicaria praetermissa"" OR AK=""Persicaria praetermissa""",Danica,0,
Polygonum propinquum,"TI=""Polygonum propinquum"" OR AB=""Polygonum propinquum"" OR AK=""Polygonum propinquum""",Danica,0,
Ruprechtia laxiflora,"TI=""Ruprechtia laxiflora"" OR AB=""Ruprechtia laxiflora"" OR AK=""Ruprechtia laxiflora""",Danica,4,
Bistorta officinalis,"TI=""Bistorta officinalis"" OR AB=""Bistorta officinalis"" OR AK=""Bistorta officinalis""",Danica,5,
Rheum turkestanicum,"TI=""Rheum turkestanicum"" OR AB=""Rheum turkestanicum"" OR AK=""Rheum turkestanicum""",Danica,11,
Polygonum songaricum,"TI=""Polygonum songaricum"" OR AB=""Polygonum songaricum"" OR AK=""Polygonum songaricum""",Danica,0,
Persicaria greuteriana,"TI=""Persicaria greuteriana"" OR AB=""Persicaria greuteriana"" OR AK=""Persicaria greuteriana""",Danica,0,
Muehlenbeckia tamnifolia,"TI=""Muehlenbeckia tamnifolia"" OR AB=""Muehlenbeckia tamnifolia"" OR AK=""Muehlenbeckia tamnifolia""",Danica,2,
Persicaria maculata,"TI=""Persicaria maculata"" OR AB=""Persicaria maculata"" OR AK=""Persicaria maculata""",Danica,2,
Persicaria minor,"TI=""Persicaria minor"" OR AB=""Persicaria minor"" OR AK=""Persicaria minor""",Danica,23,
Rumex giganteus,"TI=""Rumex giganteus"" OR AB=""Rumex giganteus"" OR AK=""Rumex giganteus""",Danica,0,
Fallopia dentatoalata,"TI=""Fallopia dentatoalata"" OR AB=""Fallopia dentatoalata"" OR AK=""Fallopia dentatoalata""",Danica,0,
Persicaria debilis,"TI=""Persicaria debilis"" OR AB=""Persicaria debilis"" OR AK=""Persicaria debilis""",Danica,0,
