,Primate_host,Mating_System,Presence_of_Mating_Season,Mating_Season_Length,Presence_of_Birthing_Season,Birth_Season_Length,Gestation_Period,Male_kg,Female_kg,Mean_lat_GMPD,GMPD_citations,WoS_citations,Total_PSR,Chao_PSR,TotaltrepPrev,TotalSIVPrev,SexualPSR,VerticalPSR,directPSR,indirectPSR,ClosePSR,NonclosePSR,VectorPSR,IntermediatePSR,Sexual_chao,Vertical_chao,Direct_chao,Indirect_chao,CloseT_chao,Nonclose_chao,Vector_chao,Intermediate_chao,BE07phy_species,TenkTr_species
80,Macaca_mulatta,Polygamy,Y,3,Y,NA,164,11,8.8,24.90095926,18,7067,35,105.0833333,0,NA,5,6,26,8,21,10,7,2,7.25,7.5,70.1,32.5,46.6,50.5,25,3,Macaca_mulatta,Macaca_mulatta
81,Macaca_nemestrina,Polyandry,N,12,N,12,NA,11.2,6.5,1.423333704,9,1044,11,15.16666667,0,NA,1,1,2,9,2,NA,9,NA,NA,NA,3,10.5,3,NA,10.5,NA,Macaca_nemestrina,Macaca_nemestrina
82,Macaca_ochreata,Polygamy,NA,NA,NA,NA,168,5.3,2.6,-5,1,9,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macaca_ochreata,Macaca_ochreata
83,Macaca_radiata,Polyandry,N,12,Y,NA,NA,6.67,3.85,14.77903485,14,416,12,44,NA,NA,NA,NA,5,7,3,2,6,NA,NA,NA,15,11.5,6,3,8,NA,Macaca_radiata,Macaca_radiata
84,Macaca_silenus,Polygyny,N,12,N,12,176,8.9,6.1,12.93933333,3,101,19,47.125,NA,NA,NA,1,13,7,4,14,1,5,NA,NA,29.66666667,25,10,34.16666667,NA,13,Macaca_silenus,Macaca_silenus
85,Macaca_sinica,Polygamy,Y,3,Y,4,167,5.68,3.2,7.382,9,42,22,202.5,NA,NA,1,1,11,13,7,8,11,NA,NA,NA,61,68,28,32.5,47,NA,Macaca_sinica,Macaca_sinica
86,Macaca_sylvanus,Polygamy,Y,NA,Y,3,NA,16,11,35.95,4,304,4,10,NA,0,1,2,3,1,3,NA,1,NA,NA,3,6,NA,6,NA,NA,NA,Macaca_sylvanus,Macaca_sylvanus
87,Macaca_tonkeana,Polygamy,NA,NA,NA,NA,173,14.9,9,-2.671466667,2,113,9,45,NA,NA,1,1,6,4,1,5,1,2,NA,NA,21,10,NA,15,NA,3,Macaca_tonkeana,Macaca_tonkeana
88,Mandrillus_leucophaeus,Polygamy,NA,NA,Y,5,NA,17.5,12.5,6.051,11,55,8,26,NA,1,2,2,4,4,4,2,2,2,3,3,10,6,10,3,2,2.5,Mandrillus_leucophaeus,Mandrillus_leucophaeus
89,Mandrillus_sphinx,Polygyny,Y,6,Y,5,173,31.6,12.9,1.51262498,17,215,28,68.5,NA,0.7998,4,5,17,12,12,13,5,6,4.5,7,25,57,16.16666667,19,15,16,Mandrillus_sphinx,Mandrillus_sphinx
90,Microcebus_murinus,Polygamy,Y,1,Y,NA,61,0.059,0.063,-20.87873611,17,491,26,62.125,NA,NA,NA,NA,14,10,5,13,1,7,NA,NA,30,13,13,25.25,NA,9.25,Microcebus_murinus,Microcebus_murinus
91,Microcebus_rufus,Polygyny,Y,2,Y,2,60,0.043,0.042,-21.26,10,53,14,44.25,NA,NA,NA,NA,11,6,7,10,1,2,NA,NA,27,13,22,26,NA,3,Microcebus_rufus,Microcebus_rufus
92,Miopithecus_talapoin,Polyandry,Y,3,NA,NA,NA,1.38,1.12,3.6375,7,31,9,41,NA,0.25,3,4,5,4,5,1,3,1,6,10,15,8.5,15,NA,5,NA,Miopithecus_talapoin,Miopithecus_talapoin
93,Nasalis_larvatus,Polygamy,N,12,N,12,166,20.4,9.82,4.836112,5,90,14,34.16666667,NA,NA,NA,NA,8,8,1,8,NA,6,NA,NA,12.16666667,32.5,NA,12.16666667,NA,21,Nasalis_larvatus,Nasalis_larvatus
94,Nycticebus_coucang,Polyandry,N,12,N,12,188,0.679,0.626,1.791496667,10,137,10,50.5,NA,NA,NA,NA,5,6,1,5,3,2,NA,NA,13,21,NA,13,6,3,Nycticebus_coucang,Nycticebus_coucang
95,Otolemur_crassicaudatus,Polygyny,Y,4,Y,NA,133,1.19,1.11,-11.20349264,8,48,14,98.5,NA,NA,NA,NA,9,10,1,9,2,2,NA,NA,41,55,NA,45,3,3,Otolemur_crassicaudatus,Otolemur_crassicaudatus
96,Otolemur_garnettii,Polygamy,N,12,Y,3,133,0.794,0.734,-29,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Otolemur_garnettii,Otolemur_garnettii
97,Pan_paniscus,Polygamy,N,12,N,12,240,45,33.2,-0.443486323,15,852,21,75,NA,NA,3,4,15,7,7,8,5,1,6,10,34.16666667,28,13.25,17,15,NA,Pan_paniscus,Pan_paniscus
98,Pan_troglodytes,Polygamy,N,12,N,12,230,42.7,33.7,1.637352567,114,3694,103,206.3611111,0.297,0.126027027,9,8,60,34,38,43,17,14,10.5,10.25,104,91.6,52.22222222,83.33333333,45.16666667,39,Pan_troglodytes,Pan_troglodytes
99,Papio_anubis,Polygamy,N,12,N,12,180,25.1,13.3,1.387073899,53,752,72,177.8,0.527130435,NA,2,1,42,35,25,35,8,17,2,NA,83.14285714,92.6,57.66666667,68.33333333,26,47.25,NA,Papio_anubis
100,Papio_cynocephalus,Polygamy,N,12,N,12,180,21.8,12.3,-3.828647476,28,615,68,126.8,0.321950689,0.01,3,2,47,34,30,30,9,13,3.5,2.5,77.375,68.57142857,60.08333333,39.8,18,63,NA,Papio_cynocephalus
101,Papio_hamadryas,Polygyny,N,12,N,12,172,16.9,9.9,10.59406303,7,679,21,37.33333333,NA,NA,1,1,14,7,6,13,1,5,NA,NA,24.125,13.25,7.5,21,NA,7.25,Papio_hamadryas,Papio_hamadryas
